kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss
10118816,Kepler-1735 b,CONFIRMED,0,0
10122255,Kepler-765 b,CONFIRMED,0,0
3835670,Kepler-473 b,CONFIRMED,0,0
9775938,Kepler-258 c,CONFIRMED,0,0
9787239,Kepler-32 b,CONFIRMED,0,0
9787239,Kepler-32 c,CONFIRMED,0,0
9787239,Kepler-32 d,CONFIRMED,0,0
9787239,Kepler-32 e,CONFIRMED,0,0
9787239,Kepler-32 f,CONFIRMED,0,0
2716853,Kepler-752 b,CONFIRMED,0,0
2715135,Kepler-753 b,CONFIRMED,0,0
8644288,Kepler-18 b,CONFIRMED,0,0
3247268,Kepler-418 b,CONFIRMED,0,0
3247268,Kepler-418 c,CONFIRMED,0,0
10354039,Kepler-1737 b,CONFIRMED,0,0
10330115,Kepler-781 b,CONFIRMED,0,0
10426656,Kepler-272 c,CONFIRMED,0,0
9820483,Kepler-740 b,CONFIRMED,0,0
9941662,Kepler-13 b,CONFIRMED,0,1
7778437,Kepler-471 b,CONFIRMED,0,0
9823457,Kepler-259 b,CONFIRMED,0,0
9823457,Kepler-259 c,CONFIRMED,0,0
2164169,Kepler-1732 b,CONFIRMED,0,0
2574338,Kepler-1733 b,CONFIRMED,0,0
2584163,Kepler-754 b,CONFIRMED,0,0
4180280,Kepler-472 b,CONFIRMED,0,0
2721030,Kepler-766 b,CONFIRMED,0,0
7626506,Kepler-112 b,CONFIRMED,0,0
10426656,Kepler-272 d,CONFIRMED,0,0
10426656,Kepler-272 b,CONFIRMED,0,0
10528068,Kepler-782 b,CONFIRMED,0,0
10468940,Kepler-273 b,CONFIRMED,0,0
9825625,Kepler-741 b,CONFIRMED,0,0
9875711,Kepler-742 b,CONFIRMED,0,0
1026957,Kepler-1731 b,CONFIRMED,0,0
2853093,Kepler-767 b,CONFIRMED,0,0
3245969,Kepler-768 b,CONFIRMED,0,0
3231341,Kepler-24 c,CONFIRMED,0,0
10468940,Kepler-273 c,CONFIRMED,0,0
10337517,Kepler-783 c,CONFIRMED,0,0
10337517,Kepler-783 b,CONFIRMED,0,0
10351231,Kepler-1738 b,CONFIRMED,0,0
8561063,Kepler-42 b,CONFIRMED,0,0
8561063,Kepler-42 c,CONFIRMED,0,0
8561063,Kepler-42 d,CONFIRMED,0,0
7102227,Kepler-290 c,CONFIRMED,0,0
7102227,Kepler-290 b,CONFIRMED,0,0
6960913,Kepler-61 b,CONFIRMED,0,0
11122894,Kepler-297 c,CONFIRMED,0,0
11129738,Kepler-844 b,CONFIRMED,0,0
11401182,Kepler-845 b,CONFIRMED,0,0
11030711,Kepler-1750 b,CONFIRMED,0,0
11512246,Kepler-23 b,CONFIRMED,0,0
6690082,Kepler-280 b,CONFIRMED,0,0
6690082,Kepler-280 c,CONFIRMED,0,0
6448890,Kepler-56 c,CONFIRMED,0,0
6448890,Kepler-56 b,CONFIRMED,0,0
10730034,Kepler-285 b,CONFIRMED,0,0
10730034,Kepler-285 c,CONFIRMED,0,0
10858691,Kepler-286 b,CONFIRMED,0,0
10858691,Kepler-286 c,CONFIRMED,0,0
10858691,Kepler-286 d,CONFIRMED,0,0
8107380,Kepler-476 b,CONFIRMED,0,0
6936909,Kepler-291 b,CONFIRMED,0,0
6936909,Kepler-291 c,CONFIRMED,0,0
6962977,Kepler-292 f,CONFIRMED,0,0
6962977,Kepler-292 d,CONFIRMED,0,0
11176127,Kepler-298 b,CONFIRMED,0,0
11176127,Kepler-298 c,CONFIRMED,0,0
11176127,Kepler-298 d,CONFIRMED,0,0
11014932,Kepler-299 c,CONFIRMED,0,0
8030148,Kepler-474 b,CONFIRMED,0,0
6693640,Kepler-798 b,CONFIRMED,0,0
10858691,Kepler-286 e,CONFIRMED,0,0
10973814,Kepler-287 c,CONFIRMED,0,0
10973814,Kepler-287 b,CONFIRMED,0,0
6541920,Kepler-11 g,CONFIRMED,0,0
10586208,Kepler-811 b,CONFIRMED,0,0
6962977,Kepler-292 e,CONFIRMED,0,0
6962977,Kepler-292 c,CONFIRMED,0,0
6962977,Kepler-292 b,CONFIRMED,0,0
6932987,Kepler-293 b,CONFIRMED,0,0
11014932,Kepler-299 d,CONFIRMED,0,0
11014932,Kepler-299 b,CONFIRMED,0,0
11014932,Kepler-299 e,CONFIRMED,0,0
11288505,Kepler-846 b,CONFIRMED,0,0
11493431,Kepler-847 b,CONFIRMED,0,0
10854768,Kepler-812 b,CONFIRMED,0,0
10964440,Kepler-813 b,CONFIRMED,0,0
10713616,Kepler-1667 b,CONFIRMED,0,0
10963242,Kepler-814 b,CONFIRMED,0,0
6932987,Kepler-293 c,CONFIRMED,0,0
8191672,Kepler-5 b,CONFIRMED,0,1
6851425,Kepler-477 b,CONFIRMED,0,0
6934291,Kepler-828 b,CONFIRMED,0,0
11037335,Kepler-300 c,CONFIRMED,0,0
11037335,Kepler-300 b,CONFIRMED,0,0
11389771,Kepler-301 b,CONFIRMED,0,0
11389771,Kepler-301 d,CONFIRMED,0,0
10925104,Kepler-114 c,CONFIRMED,0,0
10585852,Kepler-815 b,CONFIRMED,0,0
10794087,Kepler-1743 b,CONFIRMED,0,0
6541920,Kepler-11 b,CONFIRMED,0,0
7287415,Kepler-1745 b,CONFIRMED,0,0
6924203,Kepler-829 b,CONFIRMED,0,0
11389771,Kepler-301 c,CONFIRMED,0,0
11599038,Kepler-1751 b,CONFIRMED,0,0
11193263,Kepler-848 b,CONFIRMED,0,0
11027624,Kepler-849 b,CONFIRMED,0,0
11032227,Kepler-850 b,CONFIRMED,0,0
8751933,Kepler-420 b,CONFIRMED,0,0
8630788,Kepler-281 c,CONFIRMED,0,0
8630788,Kepler-281 b,CONFIRMED,0,0
8630788,Kepler-281 d,CONFIRMED,0,0
4164994,Kepler-816 b,CONFIRMED,0,0
6766634,Kepler-1746 b,CONFIRMED,0,0
7211469,Kepler-830 b,CONFIRMED,0,0
7831264,Kepler-116 b,CONFIRMED,0,0
7532973,Kepler-854 b,CONFIRMED,0,1
8678594,Kepler-799 b,CONFIRMED,0,0
10925104,Kepler-114 b,CONFIRMED,0,0
8678594,Kepler-799 c,CONFIRMED,0,0
4076098,Kepler-817 b,CONFIRMED,0,0
4282872,Kepler-818 b,CONFIRMED,0,0
