kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
9347899,Kepler-31 d,CONFIRMED,0,0,37.50,14
9388479,Kepler-732 b,CONFIRMED,0,0,124.70,145
9388479,Kepler-732 c,CONFIRMED,0,0,87.80,1452
11359879,Kepler-15 b,CONFIRMED,0,0,2040.70,274
9406990,Kepler-733 b,CONFIRMED,0,0,45.10,66
9415172,Kepler-255 c,CONFIRMED,0,0,51.00,131
9415172,Kepler-255 d,CONFIRMED,0,0,25.30,1233
9415172,Kepler-255 b,CONFIRMED,0,0,16.70,192
3231341,Kepler-24 b,CONFIRMED,0,0,32.20,159
3231341,Kepler-24 e,CONFIRMED,0,0,16.90,68
3231341,Kepler-24 d,CONFIRMED,0,0,15.10,269
7626506,Kepler-112 c,CONFIRMED,0,0,97.10,46
10482160,Kepler-1739 b,CONFIRMED,0,0,32.20,144
8559644,Kepler-111 c,CONFIRMED,0,0,235.70,7
3240158,Kepler-769 b,CONFIRMED,0,0,37.50,180
3240158,Kepler-769 c,CONFIRMED,0,0,10.90,79
3218908,Kepler-770 b,CONFIRMED,0,0,41.00,72
10350571,Kepler-784 b,CONFIRMED,0,0,25.50,34
3749365,Kepler-785 b,CONFIRMED,0,0,1252.50,662
3632418,Kepler-21 b,CONFIRMED,0,0,53.60,486
5809890,Kepler-755 b,CONFIRMED,0,0,73.50,1061
5809890,Kepler-755 c,CONFIRMED,0,0,39.70,412
6131236,Kepler-1734 b,CONFIRMED,0,0,29.80,196
3218908,Kepler-770 c,CONFIRMED,0,0,27.20,877
3218908,Kepler-770 d,CONFIRMED,0,0,24.50,270
2837111,Kepler-771 b,CONFIRMED,0,0,24.80,155
5956342,Kepler-265 c,CONFIRMED,0,0,29.80,82
5956342,Kepler-265 b,CONFIRMED,0,0,17.70,193
5956342,Kepler-265 e,CONFIRMED,0,0,15.50,16
5956342,Kepler-265 d,CONFIRMED,0,0,11.80,26
5956656,Kepler-756 b,CONFIRMED,0,0,21.10,1094
3109930,Kepler-1736 b,CONFIRMED,0,0,35.20,34
2854914,Kepler-268 b,CONFIRMED,0,0,42.20,51
2854914,Kepler-268 c,CONFIRMED,0,0,36.10,17
3116412,Kepler-772 b,CONFIRMED,0,0,38.70,100
8394721,Kepler-79 d,CONFIRMED,0,0,243.50,27
2854698,Kepler-260 b,CONFIRMED,0,0,38.40,166
2854698,Kepler-260 c,CONFIRMED,0,0,17.40,19
8559644,Kepler-111 b,CONFIRMED,0,0,48.80,402
2849805,Kepler-773 b,CONFIRMED,0,0,38.00,352
3114811,Kepler-774 b,CONFIRMED,0,0,38.90,118
3554031,Kepler-415 c,CONFIRMED,0,0,28.10,100
3554031,Kepler-415 b,CONFIRMED,0,0,14.90,202
8394721,Kepler-79 c,CONFIRMED,0,0,79.30,49
7295235,Kepler-743 b,CONFIRMED,0,0,41.00,421
2302548,Kepler-261 b,CONFIRMED,0,0,41.90,130
2302548,Kepler-261 c,CONFIRMED,0,0,26.30,50
9818381,Kepler-43 b,CONFIRMED,0,0,1225.30,446
6060203,Kepler-757 b,CONFIRMED,0,0,21.60,1306
5880320,Kepler-758 b,CONFIRMED,0,0,33.40,110
5880320,Kepler-758 c,CONFIRMED,0,0,20.90,271
5880320,Kepler-758 d,CONFIRMED,0,0,22.80,51
3859079,Kepler-786 b,CONFIRMED,0,0,34.50,21
4061149,Kepler-1741 b,CONFIRMED,0,0,19.60,490
3444588,Kepler-787 b,CONFIRMED,0,0,22.60,1443
8394721,Kepler-79 b,CONFIRMED,0,0,80.80,98
3962243,Kepler-276 c,CONFIRMED,0,0,25.30,31
10154388,Kepler-744 b,CONFIRMED,0,0,32.40,89
1432789,Kepler-745 b,CONFIRMED,0,0,26.20,137
1718189,Kepler-262 c,CONFIRMED,0,0,23.00,60
5880320,Kepler-758 e,CONFIRMED,0,0,15.70,142
6037187,Kepler-759 b,CONFIRMED,0,0,28.30,31
5735762,Kepler-48 b,CONFIRMED,0,0,115.40,274
6359320,Kepler-269 b,CONFIRMED,0,0,34.10,213
3859628,Kepler-1740 b,CONFIRMED,0,0,37.00,105
1718189,Kepler-262 b,CONFIRMED,0,0,19.40,101
8222813,Kepler-760 b,CONFIRMED,0,0,74.00,132
6359320,Kepler-269 c,CONFIRMED,0,0,10.70,128
6362874,Kepler-775 b,CONFIRMED,0,0,82.60,1372
6272413,Kepler-776 b,CONFIRMED,0,0,16.90,273
3447722,Kepler-275 c,CONFIRMED,0,0,31.30,89
3447722,Kepler-275 b,CONFIRMED,0,0,16.40,126
3447722,Kepler-275 d,CONFIRMED,0,0,18.50,38
2165002,Kepler-263 b,CONFIRMED,0,0,41.90,83
2165002,Kepler-263 c,CONFIRMED,0,0,14.00,30
1871056,Kepler-264 b,CONFIRMED,0,0,54.80,34
8222813,Kepler-760 c,CONFIRMED,0,0,29.50,444
8240904,Kepler-266 b,CONFIRMED,0,0,31.50,168
8240904,Kepler-266 c,CONFIRMED,0,0,30.50,10
5735762,Kepler-48 c,CONFIRMED,0,0,178.00,140
3962243,Kepler-276 b,CONFIRMED,0,0,23.00,72
3962243,Kepler-276 d,CONFIRMED,0,0,12.20,20
3438507,Kepler-788 b,CONFIRMED,0,0,28.00,164
